ticker,close,best_rule,grade,score,trades,win,avg_ret,baseline,edge,t_stat,edge_is,edge_oos,n_oos,yearly,years,mae,worst,status,trigger_price,gap_to_trigger,rsi,pctb,vs_sma50,vs_sma200,off_52w_high,ret_1m,ret_3m,ret_12m,vol,beta,corr_spy,max_dd_1y,n_bars,wf_folds,wf_positive_frac,edge_lo,edge_hi,win_lo,win_hi,edge_hc,kelly_frac,kelly_dollars,bh_total,bh_cagr,bb_5d_n,bb_5d_win,bb_5d_edge,bb_10d_n,bb_10d_win,bb_10d_edge,bb_20d_n,bb_20d_win,bb_20d_edge,50-day_5d_n,50-day_5d_win,50-day_5d_edge,50-day_10d_n,50-day_10d_win,50-day_10d_edge,50-day_20d_n,50-day_20d_win,50-day_20d_edge,10%_5d_n,10%_5d_win,10%_5d_edge,10%_10d_n,10%_10d_win,10%_10d_edge,10%_20d_n,10%_20d_win,10%_20d_edge,group,is_position,short_pct_float,days_to_cover,insider_net_shares,put_call,earnings_date,earnings_in_hold
LRCX,302.1800,BB dip,No,3,19,0.6316,0.0380,0.0165,0.0215,0.8607,0.0009,0.0492,8,0.4286,7,-0.0557,-0.1430,Armed,271.1016,-0.1028,50.8808,0.5979,-0.0069,0.1205,-0.3019,-0.0386,-0.2472,1.3056,0.6489,3.2308,0.6457,-0.4176,2513,5,0.6000,-0.0212,0.0606,0.4211,0.7895,0.0195,0.1954,19539.9423,36.7673,0.4382,27,0.4815,-0.0007,19,0.6316,0.0215,16,0.7500,0.0059,62,0.5968,-0.0018,46,0.5652,0.0112,34,0.5882,0.0000,103,0.5340,-0.0065,62,0.5968,-0.0031,41,0.6829,-0.0114,"Semiconductors and memory (NVDA, MU)",False,0.0248,3.3400,-323428.0000,1.1065,2026-10-21,False
NFLX,71.7200,10% drawdown,No,3,56,0.6250,0.0162,0.0109,0.0053,0.5906,0.0021,0.0092,24,0.5000,8,-0.0482,-0.1499,Trend filter off,74.4570,0.0382,38.2237,0.1270,-0.0513,-0.1547,-0.4222,-0.1278,0.0116,-0.4114,0.3632,0.3042,0.1086,-0.4554,2513,5,0.6000,-0.0099,0.0203,0.5000,0.7321,0.0033,0.1430,14297.0711,6.5846,0.2248,27,0.5556,0.0159,24,0.5833,0.0191,21,0.7143,0.0203,69,0.5217,-0.0087,49,0.5714,-0.0039,34,0.5882,-0.0081,93,0.6129,0.0002,56,0.6250,0.0053,36,0.6111,0.0123,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",False,0.0221,3.1000,-1528784.0000,0.4918,2026-10-20,False
ADBE,237.1400,50-day pullback,No,3,45,0.7111,0.0233,0.0052,0.0181,1.7679,0.0132,0.0320,9,0.5714,7,-0.0398,-0.1376,Trend filter off,250.0448,0.0544,37.4982,0.1536,-0.0786,-0.0990,-0.3420,-0.1343,0.2261,-0.3445,0.4082,0.3719,0.1181,-0.4633,2513,4,0.7500,0.0011,0.0347,0.5989,0.8222,0.0161,0.2059,20590.6293,1.2109,0.0826,22,0.6364,0.0033,19,0.6316,0.0024,17,0.5882,0.0178,63,0.6349,0.0074,45,0.7111,0.0181,31,0.6774,0.0220,46,0.5652,0.0079,28,0.5714,0.0110,19,0.6842,0.0277,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",False,0.0489,3.9900,-67507.0000,0.6814,2026-12-09,False
NOW,138.1600,10% drawdown,No,3,43,0.6279,0.0206,0.0105,0.0100,0.7714,-0.0021,0.0321,15,0.6250,8,-0.0558,-0.1698,Armed,133.1910,-0.0360,54.5938,0.4586,0.1038,0.1828,-0.2700,0.0879,0.5433,-0.2553,0.5726,0.6536,0.1480,-0.5614,2513,4,0.5000,-0.0115,0.0304,0.5116,0.7442,0.0080,0.1404,14044.4129,8.0007,0.2459,26,0.6538,0.0072,22,0.5909,0.0105,20,0.7000,0.0242,66,0.5303,-0.0065,47,0.5745,0.0041,34,0.5882,-0.0008,62,0.5968,0.0018,43,0.6279,0.0100,31,0.7419,0.0245,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",False,0.0294,1.6200,-43747.0000,0.5613,2026-10-28,False
NRG,98.6200,10% drawdown,No,3,48,0.5417,0.0130,0.0119,0.0011,0.0998,0.0017,0.0002,25,0.6667,6,-0.0570,-0.1400,Trend filter off,130.9890,0.3282,31.0171,-0.0053,-0.1734,-0.3076,-0.4606,-0.1177,-0.3041,-0.4160,0.4841,1.3808,0.3702,-0.4606,2512,4,0.7500,-0.0153,0.0180,0.4167,0.6667,-0.0009,0.0990,9901.4868,9.7371,0.2681,27,0.4444,0.0003,21,0.5714,0.0090,17,0.4118,-0.0204,76,0.4868,-0.0068,48,0.6250,-0.0128,38,0.5789,-0.0106,70,0.6143,0.0041,48,0.5417,0.0011,32,0.5625,0.0021,Power and clean energy (BE),False,0.0381,1.8500,-32725.0000,0.4143,2026-11-05,False
ENPH,32.5050,50-day pullback,No,3,27,0.6296,0.0525,0.0247,0.0278,0.7058,0.0509,-0.0704,7,0.6000,5,-0.1323,-0.2060,Trend filter off,36.4571,0.1216,32.5416,-0.0498,-0.1418,-0.2114,-0.5506,-0.1297,-0.3115,-0.1300,0.8222,2.5039,0.3949,-0.5506,2513,5,0.6000,-0.0284,0.0932,0.4815,0.7778,0.0258,0.1543,15426.7804,26.0875,0.3912,26,0.4615,-0.0096,19,0.4211,-0.0229,16,0.6250,-0.0130,39,0.3590,-0.0235,27,0.6296,0.0278,21,0.4762,0.0934,155,0.4774,-0.0042,94,0.5319,-0.0121,54,0.4815,0.0075,Power and clean energy (BE),False,0.2129,5.7300,1100.0000,0.6299,2026-10-27,False
PLUG,1.9850,50-day pullback,No,3,28,0.6071,0.0591,0.0130,0.0461,1.2734,0.0635,-0.0283,7,0.6667,6,-0.0945,-0.2486,Trend filter off,2.0598,0.0377,39.5003,0.0439,-0.0740,-0.1982,-0.5205,-0.1256,-0.2276,-0.2154,0.9298,2.3746,0.3312,-0.5666,2513,4,0.7500,-0.0070,0.1037,0.4643,0.7500,0.0441,0.1724,17241.3922,0.2104,0.0193,20,0.3500,-0.0247,15,0.3333,-0.0385,13,0.4615,-0.0728,41,0.5854,0.0062,28,0.6071,0.0461,24,0.6250,0.0936,129,0.4806,0.0001,77,0.5065,0.0239,45,0.5778,0.0340,Power and clean energy (BE),False,0.2346,4.6300,-282560.0000,0.1987,2026-11-09,False
IVV,768.9750,BB dip,No,3,29,0.6207,0.0070,0.0058,0.0012,0.1449,0.0029,-0.0012,13,0.6250,8,-0.0274,-0.1564,Armed,758.2180,-0.0140,52.7826,0.6064,0.0088,0.0728,-0.0131,0.0053,0.0469,0.1612,0.1299,0.9999,0.9992,-0.0889,2512,5,0.6000,-0.0138,0.0132,0.4828,0.7586,-0.0008,0.1071,10706.3257,3.2098,0.1547,36,0.6389,0.0024,29,0.6207,0.0012,26,0.7692,0.0004,74,0.5541,-0.0020,51,0.6667,0.0030,38,0.7632,0.0004,1,1.0000,0.0430,1,1.0000,0.0463,1,1.0000,0.0556,"Index ETFs (SPY, VOO, QQQ)",False,,,,0.9048,,False
DIA,511.8900,BB dip,No,3,32,0.5938,0.0114,0.0051,0.0064,0.8171,0.0073,0.0049,15,0.7143,7,-0.0229,-0.1509,Signal today,512.5176,0.0012,36.9549,0.0787,-0.0277,0.0273,-0.0540,-0.0386,-0.0094,0.1203,0.1267,0.8197,0.8396,-0.0976,2512,5,0.6000,-0.0063,0.0181,0.4375,0.7188,0.0044,0.1553,15527.0889,2.4331,0.1314,39,0.6410,0.0030,32,0.5938,0.0064,27,0.7037,0.0097,74,0.4865,-0.0028,51,0.6078,0.0024,38,0.6053,-0.0001,3,0.6667,0.0113,2,1.0000,0.0206,2,1.0000,0.0262,"Index ETFs (SPY, VOO, QQQ)",False,,,,0.7454,,False
MRVL,256.6900,BB dip,No,2,26,0.5385,0.0167,0.0149,0.0019,0.0759,0.0313,-0.0342,12,0.6250,8,-0.0706,-0.3240,Armed,203.8498,-0.2059,60.7324,0.8575,0.1718,0.5884,-0.1886,0.0679,-0.0871,2.4473,0.7947,3.0115,0.4914,-0.4835,2513,5,0.4000,-0.0426,0.0422,0.3462,0.6923,-0.0001,0.0789,7894.3045,20.3610,0.3585,33,0.4848,-0.0041,26,0.5385,0.0019,23,0.6087,-0.0028,74,0.4865,-0.0063,49,0.4898,-0.0069,35,0.4571,-0.0092,130,0.4846,-0.0070,75,0.5867,-0.0055,48,0.5625,-0.0169,"Semiconductors and memory (NVDA, MU)",False,0.0509,1.5400,-234140.0000,0.3246,2026-12-01,False
INTC,124.3885,10% drawdown,No,2,53,0.5660,0.0212,0.0089,0.0123,0.9098,0.0051,0.0110,31,0.5000,8,-0.0653,-0.2256,Signal in last 3 sessions,114.3180,-0.0810,71.3511,0.9540,0.2632,0.5791,-0.1174,0.4219,-0.0638,3.2396,0.7757,2.9190,0.4880,-0.4190,2513,5,0.6000,-0.0089,0.0352,0.4528,0.6792,0.0103,0.1327,13272.3410,3.1888,0.1541,19,0.5789,-0.0024,15,0.5333,0.0042,13,0.3077,-0.0514,42,0.5238,-0.0009,27,0.6296,0.0070,22,0.6818,0.0189,92,0.5543,0.0053,53,0.5660,0.0123,34,0.5882,0.0170,"Semiconductors and memory (NVDA, MU)",False,0.0288,1.5100,43983.0000,0.5121,2026-10-22,False
ORCL,138.0200,50-day pullback,No,2,38,0.5789,0.0136,0.0076,0.0060,0.6328,0.0121,-0.0040,14,0.6250,8,-0.0366,-0.1071,Trend filter off,138.0200,0.0000,41.3948,0.0627,-0.0277,-0.1595,-0.5548,-0.0466,-0.0916,-0.5552,0.5659,2.0360,0.4666,-0.6291,2513,5,0.6000,-0.0086,0.0212,0.4474,0.7105,0.0040,0.1306,13062.0491,3.1057,0.1518,28,0.5000,-0.0036,24,0.5417,0.0105,20,0.6500,0.0102,55,0.5818,-0.0057,38,0.5789,0.0060,27,0.6296,0.0076,50,0.5000,-0.0086,31,0.4839,-0.0114,20,0.4500,-0.0346,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",False,0.0260,1.7700,-451075.0000,0.9325,2026-12-10,False
GEV,949.3800,10% drawdown,No,2,24,0.6250,0.0247,0.0337,-0.0090,-0.4388,-0.0227,0.0085,16,,2,-0.0754,-0.1678,Signal today,1057.3740,0.1138,50.1898,0.6785,-0.0277,0.0472,-0.1919,0.0077,-0.1024,0.4767,0.5259,1.9864,0.4904,-0.2554,625,4,0.5000,-0.0415,0.0249,0.4583,0.7917,-0.0110,0.1468,14675.6137,6.2639,1.2145,11,0.6364,0.0149,7,0.7143,-0.0019,6,0.8333,-0.0189,22,0.4545,-0.0159,15,0.5333,-0.0066,10,0.6000,0.0249,39,0.5128,-0.0100,24,0.6250,-0.0090,14,0.6429,-0.0207,Power and clean energy (BE),False,0.0329,4.2800,-7152.0000,1.0826,2026-10-28,False
