ticker,name,sector,close,chg1d,long_score,fade_score,trend,respect_profile,rsi,pctb,bandwidth,atr_pct,relvol,pos52,vs_sma20,vs_sma50,vs_sma200,macd_hist,support_level,support_dist_atr,support_rate,support_n,support_base,support_score,resist_level,resist_dist_atr,resist_base,resist_rate,resist_n,resist_score,long_raw,fade_raw,rs_1m,rs_3m,weekly_trend,vol_confirm,broken_level,broken_rate,broken_n,broken_dist_atr,broken_base,sma20_sup_rate,sma20_sup_base,sma20_sup_n,sma20_res_rate,sma20_res_base,sma20_res_n,sma50_sup_rate,sma50_sup_base,sma50_sup_n,sma50_res_rate,sma50_res_base,sma50_res_n,sma100_sup_rate,sma100_sup_base,sma100_sup_n,sma100_res_rate,sma100_res_base,sma100_res_n,sma200_sup_rate,sma200_sup_base,sma200_sup_n,sma200_res_rate,sma200_res_base,sma200_res_n,bb_lower_sup_rate,bb_lower_sup_base,bb_lower_sup_n,bb_upper_res_rate,bb_upper_res_base,bb_upper_res_n
CME,CME Group,Financials,271.0000,0.0007,41.3380,17.0000,Down,SMA200 89% vs 67% (n=34),47.3389,0.1413,0.0623,0.0204,0.0774,0.5316,-0.0224,0.0147,-0.0123,-1.4946,SMA200,-0.6107,0.8861,34,0.6682,59.2837,,,,,0,0.0000,41.3380,17.0000,-0.0306,0.1278,Mixed,False,,,0,,,0.7228,0.6682,109,0.5443,0.6303,98,0.6706,0.6682,82,0.5665,0.6303,64,0.7168,0.6682,36,0.5630,0.6303,36,0.8861,0.6682,34,0.3432,0.6303,15,0.7821,0.7614,83,0.6851,0.6792,89
GWW,W. W. Grainger,Industrials,1291.5601,0.0164,41.1313,26.6534,Up,SMA50 74% vs 53% (n=57) | SMA100 81% vs 70% (n=49),49.7916,0.5190,0.0685,0.0193,0.1070,0.7566,0.0013,-0.0199,0.0819,1.0832,SMA100,-0.4550,0.8072,49,0.6960,38.7390,SMA20,0.0673,0.5322,0.6337,83,48.4608,41.1313,26.6534,-0.0289,-0.0835,Down,False,,,0,,,0.6953,0.6960,105,0.6337,0.5322,83,0.5058,0.6960,45,0.7398,0.5322,57,0.8072,0.6960,49,0.3602,0.5322,38,0.7990,0.6960,12,0.5331,0.5322,15,0.7505,0.6964,73,0.6521,0.6385,95
CAT,Caterpillar Inc.,Industrials,801.0100,-0.0136,39.4076,18.1103,Up,SMA100 69% vs 50% (n=22) | SMA200 62% vs 50% (n=17),45.5035,0.4529,0.0673,0.0298,0.1461,0.5609,-0.0032,-0.0376,0.0197,3.3840,SMA200,0.6506,0.7970,17,0.6842,31.9333,SMA200,0.6506,0.5034,0.6197,17,32.9278,39.4076,18.1103,-0.0183,-0.2404,Down,False,,,0,,,0.5749,0.6842,86,0.6002,0.5034,86,0.6547,0.6842,46,0.5535,0.5034,43,0.5082,0.6842,25,0.6928,0.5034,22,0.7970,0.6842,17,0.6197,0.5034,17,0.7852,0.6872,67,0.4269,0.4951,92
CTVA,Corteva,Materials,80.2100,-0.0026,38.8265,6.0000,Up,SMA200 83% vs 72% (n=32),42.8537,0.2004,0.1412,0.0292,0.0548,0.6550,-0.0423,-0.0291,0.0274,-0.6679,SMA200,0.9136,0.8303,32,0.7229,20.9908,,,,,0,0.0000,38.8265,6.0000,-0.0353,-0.0438,Down,False,,,0,,,0.6320,0.7229,105,0.5701,0.6122,88,0.5452,0.7229,71,0.5952,0.6122,69,0.6559,0.7229,37,0.6013,0.6122,35,0.8303,0.7229,32,0.4403,0.6122,22,0.7634,0.6960,73,0.6254,0.6032,91
PAYX,Paychex,Industrials,103.4000,-0.0104,38.2500,6.0000,Up,,24.4819,-0.0786,0.2227,0.0326,0.2238,0.4474,-0.1289,-0.1265,0.0084,-1.9064,,,,0,,0.0000,,,,,0,0.0000,38.2500,6.0000,-0.1854,0.0375,Down,False,,,0,,,0.6445,0.6356,107,0.6149,0.6232,96,0.5006,0.6356,67,0.6917,0.6232,69,0.6473,0.6356,54,0.5726,0.6232,51,0.6225,0.6356,29,0.5733,0.6232,30,0.6298,0.6614,78,0.6663,0.6566,96
AMP,Ameriprise Financial,Financials,500.6300,-0.0043,38.2500,20.0180,Up,SMA20 68% vs 57% (n=96) | SMA200 67% vs 57% (n=44),27.1203,-0.1915,0.1245,0.0271,0.0974,0.5300,-0.0861,-0.0858,0.0207,-6.6975,,,,0,,0.0000,SMA200,0.7490,0.5708,0.6726,44,25.4873,38.2500,20.0180,-0.1138,0.0421,Down,False,,,0,,,0.5646,0.7556,97,0.6828,0.5708,96,0.6383,0.7556,54,0.6044,0.5708,61,0.6535,0.7556,45,0.5679,0.5708,37,0.5615,0.7556,37,0.6726,0.5708,44,0.6921,0.6877,78,0.6297,0.5858,95
CFG,Citizens Financial Group,Financials,64.5100,-0.0015,38.2500,6.0000,Up,,29.4778,-0.0694,0.1105,0.0244,0.1249,0.6240,-0.0629,-0.0887,0.0038,-0.5109,,,,0,,0.0000,,,,,0,0.0000,38.2500,6.0000,-0.0874,-0.1126,Down,False,,,0,,,0.6065,0.6250,104,0.6368,0.6469,99,0.6204,0.6250,50,0.5265,0.6469,56,0.6860,0.6250,39,0.6375,0.6469,33,0.5312,0.6250,12,0.6816,0.6469,13,0.7188,0.6884,68,0.6363,0.5884,94
SCHW,Charles Schwab Corporation,Financials,98.6450,-0.0086,38.0464,6.0000,Up,,30.5987,-0.0905,0.1232,0.0250,0.1472,0.4845,-0.0728,-0.0744,0.0091,-1.1287,,,,0,,0.0000,,,,,0,0.0000,38.0464,6.0000,-0.1241,0.0602,Down,False,,,0,,,0.6480,0.6392,91,0.5155,0.5827,82,0.6069,0.6392,48,0.6543,0.5827,50,0.6367,0.6392,33,0.5350,0.5827,34,0.4799,0.6392,18,0.6048,0.5827,23,0.7042,0.7320,74,0.6208,0.6140,95
ABNB,Airbnb,Consumer Discretionary,151.7600,0.0146,37.9796,5.1000,Up,SMA200 71% vs 61% (n=33),30.2940,0.0070,0.2526,0.0366,0.2735,0.4955,-0.1245,-0.0942,0.0661,-3.3280,,,,0,,0.0000,,,,,0,0.0000,37.9796,5.1000,-0.2081,0.0036,Mixed,False,,,0,,,0.5514,0.6114,102,0.7568,0.6827,104,0.6296,0.6114,65,0.6247,0.6827,58,0.7025,0.6114,55,0.5506,0.6827,50,0.7147,0.6114,33,0.6042,0.6827,27,0.7409,0.6877,78,0.6462,0.6115,88
USB,U.S. Bancorp,Financials,58.3650,-0.0020,37.9224,6.0000,Up,,30.9634,-0.0394,0.0977,0.0205,0.0861,0.6544,-0.0527,-0.0715,0.0261,-0.4086,,,,0,,0.0000,,,,,0,0.0000,37.9224,6.0000,-0.0709,-0.0681,Down,False,,,0,,,0.5837,0.6136,91,0.6531,0.6630,95,0.6076,0.6136,56,0.6408,0.6630,61,0.6016,0.6136,30,0.6431,0.6630,39,0.6727,0.6136,16,0.5362,0.6630,14,0.6336,0.6062,74,0.5954,0.5979,84
